Year,Office,TotalBudget,TotalQty,AvgUnitCost
2024,"Office of Culture, Arts and Languages",4683059.35,708,62478.93727272727
2024,Office of Curriculum and Instruction,206042.54,385,2847.008888888889
2024,Office of Governance and Quality Management,4451435.98,413,57714.036458333336
2024,"Office of Planning, Performance, Monitoring & Evaluation",2939539.15,199,67698.99976744187
2024,Office of Student Affairs Services,3940241.2199999997,180,64576.54878787878
2024,Office of the University Legal Counsel,684876.17,476,6811.968653846154
2024,Office of the University President,1285303.95,447,13958.735172413793
2024,Office of the University/Board Secretary,927938.13,284,17646.031666666666
2024,Office of the Vice President for Academic Affairs,956592.16,249,17362.803863636364
2024,Office of the Vice President for Administration,20156790.24,189,613673.82
2024,"Office of the Vice President for Research, Innovation and Extension",942382.3200000001,91,27890.349
2024,Performance Management Unit,8500741.0,577,96237.6293548387
2024,Planning and Design Unit,3624786.0,328,47744.31388888889
2024,Pollution Control and Safety Unit,1243736.6600000001,613,7043.972191780822
2024,Procurement Unit,947127.36,1254,9363.734571428571
2024,Public Affairs Office,818389.06,98,16255.226315789472
2024,Quality Assurance Office,2177236.0500000003,659,64500.394687500004
2024,Records & Archives Unit,347764.69,252,8388.77657142857
2024,"Recruitment, Selection and Promotion Unit",1514762.34,370,9716.804057971014
2024,Research Ethics & Review Committee,17519.4,127,208.58499999999998
2024,"Research, Accreditation and Records Unit",176207.47,220,6698.393333333333
2024,School of Law,3707694.17,323,85757.838
2024,Sports Development and Management Unit,14630994.99,11845,8670.891561181435
2024,Student Development Services Unit,17767487.27,3348,47379.94774774775
2024,Student Welfare Services Unit,7436356.23,1426,33026.21031007752
2024,Supply and Property Management Unit,1729246.04,17675,2991.5044776119403
2024,"Technology, Development, Transfer and Commercialization Office",3476953.06,163,148496.50714285712
2024,Training and Organization Development Unit,601394.34,423,6152.661355932204
2024,University Hotel,11496987.08,14139,42087.79425373134
2025,Accounting Unit,611901.4299999999,3807,3770.8821052631574
2025,Admission and Registration Office,9305097.82,34745,23056.016744186047
